{ee76f050-79a3-4188-8870-2becf538b72a} bank:/MUSIC
{bec9ac39-d630-4f89-9de1-88219965f8bd} event:/SFX/mech/mech_hit_cannonball
{f8dd67b8-99df-49a3-aa4b-33087077805b} event:/SFX/mech/mech_hit_cannoneer
{5959406c-7579-4e63-9283-6fa657df6ed3} event:/SFX/mech/mech_hit_scratcher
{1bd2e308-0e72-4cc3-ae02-3dfef8c5de50} event:/SFX/mech/mech_land_end
{c9bf8347-6a2c-4aff-a95c-1cb4a0829288} event:/SFX/mech/mech_land_loop
{afe5aa27-cd89-4043-9d24-9999b56d3141} event:/SFX/mech/mech_melee_attack
{14e6b38f-0b8e-4f84-9a5b-59cbd9163d2e} event:/SFX/mech/mech_powerdown
{acd70ae8-ba2b-406a-a4d1-a97b5a64032f} event:/SFX/mech/mech_powershot_failed
{06e59efb-6560-4d01-8371-0ca4311c0362} event:/SFX/mech/mech_powershot_impact
{35f6ea81-2542-463a-890a-857056f33804} event:/SFX/mech/mech_powershot_loop
{8d4d9afc-9605-4e47-91a1-4391bddbee54} event:/SFX/mech/mech_powershot_shot
{f06e679c-0908-4c1f-a447-311a3c565b05} event:/SFX/mech/mech_shieldup
{6e825903-dddb-4826-a91f-a6d53eb63e2b} event:/SFX/misc/blow_whizz
{9874517a-2fce-476f-8bc7-1fdb1341fd7c} event:/SFX/misc/bombExplosion
{089a16a5-98b4-4ba2-9f5c-f02b3b8407a4} event:/SFX/misc/bombStart
{28481ca9-6974-4b1c-b911-cdadd7137731} event:/SFX/misc/explosion
{d232b004-b4fc-4bdd-8dc5-db30f3db4a89} event:/SFX/misc/explosionSmoke
{bf1fa940-a6ed-46f4-aff0-1ec00c3d49ba} event:/SFX/misc/flesh_drop
{22ba04a9-2c1c-426e-8cfa-c3dde15e72b1} event:/SFX/misc/gore_splash
{2f07122d-2c6d-42a8-9bd9-2cd8ec573a3a} event:/SFX/weapons/Artillery/artilery_reload
{09db0abc-82d6-4af6-8a42-7f4a2d3f86fe} event:/SFX/weapons/Artillery/artilery_shot
{ee446b48-b57f-4625-9005-1958a9c3217b} event:/SFX/weapons/Artillery/artliery_impact
{b21715ee-247f-4b7a-bff4-e34b7139c2ce} event:/SFX/weapons/Gun/Pistol
{aa2285c2-9c6a-4e6a-9197-c7cf0efc1ee1} event:/SFX/weapons/Laser/LightningLoop
{ad1919fc-57e9-4bec-b118-81142b634af8} event:/SFX/weapons/Laser/LightningLoop 2
{023bebe5-77dd-48c9-aeb6-ca6779688034} event:/SFX/weapons/Laser/LightningLoop2
{060c2de0-1c96-4632-89ab-e23800537539} event:/SFX/weapons/Laser/LightningLoop2 2
{cb128c5d-5e18-4e67-b5b8-e1fca7e1675e} event:/SFX/weapons/Laser/wpn_laser_gun_shot
{fe5c4db6-3ea4-45a0-aea7-ad74cedf1d00} event:/SFX/weapons/wpn_projectile_gun/wpn_projectile_gun_impact
{9e2be3ea-116d-43ef-96ec-88d1c7458d08} event:/SFX/weapons/wpn_projectile_gun/wpn_projectile_gun_reload
{7a8ad879-52dd-4381-8473-99f73c4b7635} event:/SFX/weapons/wpn_projectile_gun/wpn_projectile_gun_shot
{6d0e4bbd-8623-4c2a-98ba-0e739793bd70} event:/UI/ButtonClick
{19dd180d-dd40-4f28-a9a1-7f9f48723fb3} event:/UI/items/item_use_generic
{cc4fffeb-9327-442e-b12b-83af080f0a0a} event:/UI/menu/ui_button_advance
{a587e168-83dc-41b2-87f9-40219b41b933} event:/UI/menu/ui_button_apply
{cd59732d-5d0a-4ece-a9b5-366733bfa416} event:/UI/menu/ui_button_back
{324b94fb-cd5f-4600-aede-d1938d8b25da} event:/UI/menu/ui_button_hover
{a26a3b99-bfb0-4b16-b97a-0af62f9e70a1} event:/UI/menu/ui_game_start
{9e3b13c8-0604-4de4-a221-1124a1e1240c} event:/UI/menu/ui_item_choice
{5b63950b-9d24-48e3-84c9-0126d43cf482} event:/UI/menu/ui_menu_off
{d7303d97-bced-42bb-8c2b-fdbebf48a398} event:/UI/menu/ui_menu_on
{d0d7a4dd-9d2a-4765-8bd4-a90595ea8ab5} event:/UI/menu/ui_tech_choice
{6a7d43dd-7a46-44fe-bb2d-e71c36a6e425} event:/UI/menu/ui_weapon_choice
{19956766-33a5-4de6-99a7-6f317d469992} event:/VOX/cannoneer/cnn_vox_agro
{650ffa38-6344-4dc9-9155-f240c14c41ad} event:/VOX/cannoneer/cnn_vox_attack
{21c48790-07d1-4396-88f7-bf5e01599815} event:/VOX/cannoneer/cnn_vox_death
{d4056645-ea72-4ffb-a75f-7406ba7611ed} event:/VOX/cannoneer/cnn_vox_shelldetach
{1b56e1a3-2c21-4207-8c57-4e64dc5eb261} event:/VOX/vo_man/vo_man_a
{ba2fbbb9-dc0a-4b81-a188-f36f14b97a75} event:/VOX/vo_man/vo_man_b
{436a61ae-5fb4-4c6c-9705-045df47f0080} event:/VOX/vo_man/vo_man_c
{3358b6ed-6e06-4db2-b365-ba805cb242b1} event:/VOX/vo_man/vo_man_d
{ae416aa1-b470-4068-a720-37f00535af87} event:/VOX/vo_man/vo_man_e
{fe9ed0b3-61a6-4bb3-98e2-6c2a19b90800} event:/VOX/vo_scratcher/scr_vox_agro
{eff72ec5-01cb-4697-93a8-cc52ec3fb680} event:/VOX/vo_scratcher/scr_vox_death
{8e13e34e-7d9e-45cd-ba00-ad79a90a99ae} event:/VOX/vo_scratcher/scr_vox_scratch_attack
{c18db99d-1ae3-4ed7-8616-1fc65d624348} event:/VOX/vo_woman/vo_woman_a
{8076f73f-5a39-4b07-946d-3ddec43b9c76} event:/VOX/vo_woman/vo_woman_b
{b5a97b72-0bae-4043-bd08-a5ce2e9fb027} parameter:/biomassState
{6c5225e3-c77f-47e2-ae88-113c65a7fae3} parameter:/bombType
